;weekday;year;month;day;hour;windspeed;temperature;radiation_direct;radiation_diffuse;load;ds
0;7;2012;1;1;1;4,8564;4,951;0;0;38406;2012-01-01 01:00:00
1;7;2012;1;1;2;5,0145;5,2;0;0;36501;2012-01-01 02:00:00
2;7;2012;1;1;3;5,2142;5,468;0;0;35305;2012-01-01 03:00:00
3;7;2012;1;1;4;5,4012;5,767;0;0;34568;2012-01-01 04:00:00
4;7;2012;1;1;5;5,5646;6,038;0;0;33501;2012-01-01 05:00:00
5;7;2012;1;1;6;5,7046;6,277;0;0;31650;2012-01-01 06:00:00
6;7;2012;1;1;7;5,9523;6,523;0;0;32109;2012-01-01 07:00:00
7;7;2012;1;1;8;6,0699;6,744;0,0445;3,0608;32981;2012-01-01 08:00:00
8;7;2012;1;1;9;6,4197;7,205;0,4666;23,4777;35063;2012-01-01 09:00:00
9;7;2012;1;1;10;6,5836;7,784;1,1871;48,0003;37709;2012-01-01 10:00:00
10;7;2012;1;1;11;6,4434;8,353;2,1174;69,2043;40771;2012-01-01 11:00:00
11;7;2012;1;1;12;6,3916;8,914;3,0161;82,0526;41374;2012-01-01 12:00:00
12;7;2012;1;1;13;6,1906;9,242;2,2344;68,735;40913;2012-01-01 13:00:00
13;7;2012;1;1;14;5,8916;9,312;1,6822;51,7815;40577;2012-01-01 14:00:00
14;7;2012;1;1;15;5,5992;9,097;0,846;25,6487;40865;2012-01-01 15:00:00
15;7;2012;1;1;16;5,548;8,68;0,039;1,5608;43536;2012-01-01 16:00:00
16;7;2012;1;1;17;5,7838;8,552;0;0;47675;2012-01-01 17:00:00
17;7;2012;1;1;18;6,0897;8,463;0;0;48918;2012-01-01 18:00:00
18;7;2012;1;1;19;6,4379;8,397;0;0;47909;2012-01-01 19:00:00
19;7;2012;1;1;20;6,824;8,348;0;0;45597;2012-01-01 20:00:00
20;7;2012;1;1;21;7,2443;8,313;0;0;44366;2012-01-01 21:00:00
21;7;2012;1;1;22;7,7547;8,366;0;0;43556;2012-01-01 22:00:00
22;7;2012;1;1;23;8,1092;8,446;0;0;39163;2012-01-01 23:00:00
23;7;2012;1;1;24;8,3813;8,555;0;0;35115;2012-01-02 00:00:00
24;1;2012;1;2;1;8,3702;8,626;0;0;32570;2012-01-02 01:00:00
25;1;2012;1;2;2;7,9673;8,502;0;0;31784;2012-01-02 02:00:00
26;1;2012;1;2;3;7,3945;8,189;0;0;32147;2012-01-02 03:00:00
27;1;2012;1;2;4;6,8053;7,869;0;0;33971;2012-01-02 04:00:00
28;1;2012;1;2;5;6,312;7,656;0;0;38118;2012-01-02 05:00:00
29;1;2012;1;2;6;5,9078;7,499;0;0;44584;2012-01-02 06:00:00
30;1;2012;1;2;7;5,5572;7,317;0;0;51823;2012-01-02 07:00:00
31;1;2012;1;2;8;5,321;7,168;0,0446;3,251;56247;2012-01-02 08:00:00
32;1;2012;1;2;9;5,2375;7,226;0,3151;20,1816;58559;2012-01-02 09:00:00
33;1;2012;1;2;10;5,2403;7,324;0,737;40,4693;61059;2012-01-02 10:00:00
34;1;2012;1;2;11;5,3007;7,391;1,2252;57,6899;62753;2012-01-02 11:00:00
35;1;2012;1;2;12;5,3775;7,353;1,4807;64,7159;63183;2012-01-02 12:00:00
36;1;2012;1;2;13;5,2399;7,176;1,1626;55,4088;62463;2012-01-02 13:00:00
37;1;2012;1;2;14;5,1492;6,855;0,6369;36,1961;61511;2012-01-02 14:00:00
38;1;2012;1;2;15;5,1362;6,389;0,2188;14,9619;61140;2012-01-02 15:00:00
39;1;2012;1;2;16;5,1949;5,853;0,0113;0,923;62337;2012-01-02 16:00:00
40;1;2012;1;2;17;5,2216;5,412;0;0;65016;2012-01-02 17:00:00
41;1;2012;1;2;18;5,1787;4,991;0;0;64553;2012-01-02 18:00:00
42;1;2012;1;2;19;5,2396;4,609;0;0;62916;2012-01-02 19:00:00
43;1;2012;1;2;20;5,2386;4,234;0;0;58579;2012-01-02 20:00:00
44;1;2012;1;2;21;5,2192;3,869;0;0;55833;2012-01-02 21:00:00
45;1;2012;1;2;22;5,2654;3,547;0;0;53896;2012-01-02 22:00:00
46;1;2012;1;2;23;5,2784;3,249;0;0;48883;2012-01-02 23:00:00
47;1;2012;1;2;24;5,4051;3,009;0;0;45656;2012-01-03 00:00:00
48;2;2012;1;3;1;5,4694;2,761;0;0;43212;2012-01-03 01:00:00
49;2;2012;1;3;2;5,6875;2,569;0;0;42517;2012-01-03 02:00:00
50;2;2012;1;3;3;5,9425;2,387;0;0;42891;2012-01-03 03:00:00
51;2;2012;1;3;4;6,1313;2,307;0;0;43829;2012-01-03 04:00:00
52;2;2012;1;3;5;6,4279;2,276;0;0;45997;2012-01-03 05:00:00
53;2;2012;1;3;6;6,8704;2,205;0;0;50733;2012-01-03 06:00:00
54;2;2012;1;3;7;7,4086;2,162;0;0;56436;2012-01-03 07:00:00
55;2;2012;1;3;8;7,9976;2,175;0,3622;7,0523;59676;2012-01-03 08:00:00
56;2;2012;1;3;9;8,9256;2,702;4,8475;48,8229;60966;2012-01-03 09:00:00
57;2;2012;1;3;10;9,893;3,488;15,2865;94,6987;62591;2012-01-03 10:00:00
58;2;2012;1;3;11;10,9018;4,354;24,4675;123,2487;63624;2012-01-03 11:00:00
59;2;2012;1;3;12;11,6711;5,12;18,9299;123,6203;63294;2012-01-03 12:00:00
60;2;2012;1;3;13;12,1202;5,732;11,4678;104,262;62230;2012-01-03 13:00:00
61;2;2012;1;3;14;12,2685;6,173;5,5269;70,7438;61210;2012-01-03 14:00:00
62;2;2012;1;3;15;12,4763;6,3;1,5018;29,3155;61096;2012-01-03 15:00:00
63;2;2012;1;3;16;12,7514;6,34;0,0596;1,7928;62642;2012-01-03 16:00:00
64;2;2012;1;3;17;12,9385;6,666;0;0;65026;2012-01-03 17:00:00
65;2;2012;1;3;18;12,8378;6,966;0;0;64498;2012-01-03 18:00:00
66;2;2012;1;3;19;12,6534;7,082;0;0;62463;2012-01-03 19:00:00
67;2;2012;1;3;20;12,3127;6,789;0;0;57984;2012-01-03 20:00:00
68;2;2012;1;3;21;11,6538;6,341;0;0;55047;2012-01-03 21:00:00
69;2;2012;1;3;22;11,0503;6,004;0;0;53315;2012-01-03 22:00:00
70;2;2012;1;3;23;10,3005;5,667;0;0;48607;2012-01-03 23:00:00
71;2;2012;1;3;24;9,5118;5,205;0;0;44861;2012-01-04 00:00:00
72;3;2012;1;4;1;8,7802;4,714;0;0;42518;2012-01-04 01:00:00
73;3;2012;1;4;2;8,3442;4,358;0;0;41893;2012-01-04 02:00:00
74;3;2012;1;4;3;8,1872;4,111;0;0;42386;2012-01-04 03:00:00
75;3;2012;1;4;4;8,2122;3,923;0;0;43735;2012-01-04 04:00:00
76;3;2012;1;4;5;8,4221;3,83;0;0;46176;2012-01-04 05:00:00
77;3;2012;1;4;6;8,6044;3,698;0;0;51143;2012-01-04 06:00:00
78;3;2012;1;4;7;8,7353;3,512;0;0;57455;2012-01-04 07:00:00
79;3;2012;1;4;8;8,8535;3,385;0,2297;5,9387;60299;2012-01-04 08:00:00
80;3;2012;1;4;9;9,0972;3,674;4,1368;46,4879;61388;2012-01-04 09:00:00
81;3;2012;1;4;10;9,384;4,186;15,1715;92,8076;62412;2012-01-04 10:00:00
82;3;2012;1;4;11;9,7704;4,659;35,3008;125,1277;63924;2012-01-04 11:00:00
83;3;2012;1;4;12;9,9314;4,953;46,1275;132,741;63715;2012-01-04 12:00:00
84;3;2012;1;4;13;9,8018;5,027;39,4131;120,5172;62658;2012-01-04 13:00:00
85;3;2012;1;4;14;9,4344;4,841;23,5511;90,4032;61576;2012-01-04 14:00:00
